Max drawdown,752,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.24 13:35,buy,1,0.01,17.975,7.966,0.000,,
2,2020.02.23 23:12,buy,2,0.01,18.808,0.000,0.000,,
3,2020.02.23 23:12,modify,1,0.01,17.975,0.000,0.000,,
4,2020.02.25 06:23,close,2,0.01,18.421,0.000,0.000,-19.42,"9,980.58"
5,2020.02.25 06:23,close,1,0.01,18.425,0.000,0.000,22.43,"10,003.01"
6,2020.02.25 06:23,buy,3,0.01,18.457,8.448,0.000,,
7,2020.07.14 20:58,buy,4,0.01,19.290,0.000,0.000,,
8,2020.07.14 20:58,modify,3,0.01,18.457,0.000,0.000,,
9,2020.07.15 12:00,buy,5,0.01,19.342,0.000,0.000,,
10,2020.07.15 20:00,buy,6,0.01,19.417,0.000,0.000,,
11,2020.07.16 09:21,close,6,0.01,19.160,0.000,0.000,-12.92,"9,990.09"
12,2020.07.16 09:21,close,5,0.01,19.144,0.000,0.000,-9.97,"9,980.12"
13,2020.07.16 09:21,close,4,0.01,19.142,0.000,0.000,-7.47,"9,972.65"
14,2020.07.16 09:21,close,3,0.01,19.152,0.000,0.000,34.68,"10,007.33"
15,2020.07.16 09:21,buy,7,0.01,19.162,9.172,0.000,,
16,2020.07.22 12:00,buy,8,0.01,22.125,0.000,0.000,,
17,2020.07.22 12:00,modify,7,0.01,19.162,0.000,0.000,,
18,2020.07.22 16:00,buy,9,0.01,22.226,0.000,0.000,,
19,2020.07.22 20:00,buy,10,0.01,22.870,0.000,0.000,,
20,2020.07.22 23:01,close,10,0.01,23.103,0.000,0.000,11.58,"10,018.91"
21,2020.07.22 23:01,close,9,0.01,23.100,0.000,0.000,43.63,"10,062.54"
22,2020.07.22 23:01,close,8,0.01,23.103,0.000,0.000,48.83,"10,111.37"
23,2020.07.22 23:01,close,7,0.01,23.106,0.000,0.000,197.13,"10,308.50"
24,2020.07.22 23:01,buy,11,0.01,23.194,13.191,0.000,,
25,2020.07.27 16:00,buy,12,0.01,24.354,0.000,0.000,,
26,2020.07.27 16:00,modify,11,0.01,23.194,0.000,0.000,,
27,2020.07.28 00:00,buy,13,0.01,24.993,0.000,0.000,,
28,2020.07.28 03:29,close,13,0.01,26.183,0.000,0.000,59.43,"10,367.93"
29,2020.07.28 03:29,close,12,0.01,26.186,0.000,0.000,91.53,"10,459.46"
30,2020.07.28 03:29,close,11,0.01,26.184,0.000,0.000,149.43,"10,608.89"
31,2020.07.28 03:29,buy,14,0.01,26.217,16.225,0.000,,
32,2020.08.05 20:21,buy,15,0.01,27.050,0.000,0.000,,
33,2020.08.05 20:21,modify,14,0.01,26.217,0.000,0.000,,
34,2020.08.06 08:00,buy,16,0.01,27.740,0.000,0.000,,
