max drawdown,580,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.24 00:00,buy,1,0.01,1561.20,1261.15,0.00,,
2,2020.02.19 00:53,buy,2,0.01,1601.59,0.00,0.00,,
3,2020.02.19 00:53,modify,1,0.01,1561.20,0.00,0.00,,
4,2020.02.19 08:00,buy,3,0.01,1605.06,0.00,0.00,,
5,2020.02.19 12:00,buy,4,0.01,1609.35,0.00,0.00,,
6,2020.02.20 00:00,buy,5,0.01,1610.69,0.00,0.00,,
7,2020.02.20 11:59,close,5,0.01,1617.62,0.00,0.00,6.86,"10,006.86"
8,2020.02.20 11:59,close,4,0.01,1617.69,0.00,0.00,8.27,"10,015.13"
9,2020.02.20 11:59,close,3,0.01,1617.66,0.00,0.00,12.53,"10,027.66"
10,2020.02.20 11:59,close,2,0.01,1617.72,0.00,0.00,16.06,"10,043.72"
11,2020.02.20 11:59,close,1,0.01,1617.68,0.00,0.00,56.41,"10,100.13"
12,2020.02.20 11:59,buy,6,0.01,1617.97,1317.89,0.00,,
13,2020.02.24 16:00,buy,7,0.01,1674.98,0.00,0.00,,
14,2020.02.24 16:00,modify,6,0.01,1617.97,0.00,0.00,,
15,2020.02.25 00:08,close,7,0.01,1648.93,0.00,0.00,-26.12,"10,074.01"
16,2020.02.25 00:08,close,6,0.01,1648.99,0.00,0.00,30.95,"10,104.96"
17,2020.02.25 00:08,buy,8,0.01,1649.30,1349.33,0.00,,
18,2020.03.06 20:03,buy,9,0.01,1689.59,0.00,0.00,,
19,2020.03.06 20:03,modify,8,0.01,1649.30,0.00,0.00,,
20,2020.03.06 20:24,close,9,0.01,1671.97,0.00,0.00,-17.69,"10,087.27"
21,2020.03.06 20:24,close,8,0.01,1671.94,0.00,0.00,22.57,"10,109.84"
22,2020.03.06 20:24,buy,10,0.01,1671.86,1371.94,0.00,,
23,2020.04.14 08:00,buy,11,0.01,1713.55,0.00,0.00,,
24,2020.04.14 08:00,modify,10,0.01,1671.86,0.00,0.00,,
25,2020.04.14 12:00,buy,12,0.01,1721.74,0.00,0.00,,
26,2020.04.14 14:49,close,12,0.01,1736.03,0.00,0.00,14.22,"10,124.06"
27,2020.04.14 14:49,close,11,0.01,1735.87,0.00,0.00,22.25,"10,146.31"
28,2020.04.14 14:49,close,10,0.01,1735.87,0.00,0.00,63.94,"10,210.25"
29,2020.04.14 14:49,buy,13,0.01,1736.79,1436.76,0.00,,
30,2020.06.30 15:33,buy,14,0.01,1777.20,0.00,0.00,,
31,2020.06.30 15:33,modify,13,0.01,1736.79,0.00,0.00,,
32,2020.06.30 16:00,buy,15,0.01,1781.49,0.00,0.00,,
