Max Drawdown,556,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.06 09:00,buy stop,1,0.06,1.31094,1.28694,1.31164,,
2,2020.01.06 09:00,sell stop,2,0.06,1.30623,1.33023,1.30553,,
3,2020.01.06 09:00,buy,1,0.06,1.31100,1.28694,1.31164,,
4,2020.01.06 09:00,delete,2,0.06,1.30623,1.33023,1.30553,,
5,2020.01.06 09:12,t/p,1,0.06,1.31173,1.28694,1.31164,3.78,"1,003.78"
6,2020.01.08 09:00,buy stop,3,0.06,1.31704,1.29304,1.31774,,
7,2020.01.08 09:00,sell stop,4,0.06,1.31148,1.33548,1.31078,,
8,2020.01.08 09:59,sell,4,0.06,1.31147,1.33548,1.31078,,
9,2020.01.08 09:59,delete,3,0.06,1.31704,1.29304,1.31774,,
10,2020.01.08 10:00,t/p,4,0.06,1.31085,1.33548,1.31078,3.12,"1,006.90"
11,2020.01.13 09:00,buy stop,5,0.06,1.30420,1.28020,1.30490,,
12,2020.01.13 09:00,sell stop,6,0.06,1.29839,1.32239,1.29769,,
13,2020.01.13 09:15,sell,6,0.06,1.29838,1.32239,1.29769,,
14,2020.01.13 09:15,delete,5,0.06,1.30420,1.28020,1.30490,,
15,2020.01.13 09:30,t/p,6,0.06,1.29758,1.32239,1.29769,4.20,"1,011.10"
16,2020.01.14 09:00,buy stop,7,0.06,1.30030,1.27630,1.30100,,
17,2020.01.14 09:00,sell stop,8,0.06,1.29532,1.31932,1.29462,,
18,2020.01.14 11:38,buy,7,0.06,1.30039,1.27630,1.30100,,
19,2020.01.14 11:38,delete,8,0.06,1.29532,1.31932,1.29462,,
20,2020.01.14 11:49,t/p,7,0.06,1.30097,1.27630,1.30100,2.88,"1,013.98"
21,2020.01.15 09:00,buy stop,9,0.06,1.30430,1.28030,1.30500,,
22,2020.01.15 09:00,sell stop,10,0.06,1.30118,1.32518,1.30048,,
23,2020.01.15 09:06,sell,10,0.06,1.30110,1.32518,1.30048,,
24,2020.01.15 09:06,delete,9,0.06,1.30430,1.28030,1.30500,,
25,2020.01.15 09:30,t/p,10,0.06,1.30035,1.32518,1.30048,3.90,"1,017.88"
26,2020.01.20 09:00,buy stop,11,0.06,1.30067,1.27667,1.30137,,
27,2020.01.20 09:00,sell stop,12,0.06,1.29688,1.32088,1.29618,,
28,2020.01.20 09:03,sell,12,0.06,1.29688,1.32088,1.29618,,
29,2020.01.20 09:03,delete,11,0.06,1.30067,1.27667,1.30137,,
30,2020.01.20 15:03,modify,12,0.06,1.29688,1.32068,1.29618,,
31,2020.01.20 17:03,modify,12,0.06,1.29688,1.32048,1.29618,,
32,2020.01.20 18:03,modify,12,0.06,1.29688,1.32028,1.29618,,
33,2020.01.20 19:03,modify,12,0.06,1.29688,1.32008,1.29618,,
34,2020.01.20 20:03,modify,12,0.06,1.29688,1.31988,1.29618,,
35,2020.01.20 21:03,modify,12,0.06,1.29688,1.31968,1.29618,,
36,2020.01.20 22:04,modify,12,0.06,1.29688,1.31948,1.29618,,
37,2020.01.20 23:03,modify,12,0.06,1.29688,1.31928,1.29618,,
38,2020.01.21 00:03,modify,12,0.06,1.29688,1.31908,1.29618,,
39,2020.01.21 01:03,modify,12,0.06,1.29688,1.31888,1.29618,,
40,2020.01.21 02:03,modify,12,0.06,1.29688,1.31868,1.29618,,
41,2020.01.21 03:03,modify,12,0.06,1.29688,1.31848,1.29618,,
42,2020.01.21 04:03,modify,12,0.06,1.29688,1.31828,1.29618,,
43,2020.01.21 05:03,modify,12,0.06,1.29688,1.31808,1.29618,,
44,2020.01.21 06:03,modify,12,0.06,1.29688,1.31788,1.29618,,
45,2020.01.21 07:03,modify,12,0.06,1.29688,1.31768,1.29618,,
46,2020.01.21 08:03,modify,12,0.06,1.29688,1.31748,1.29618,,
47,2020.01.21 09:00,buy stop,13,0.06,1.30221,1.27821,1.30361,,
48,2020.01.21 09:00,sell stop,14,0.06,1.29942,1.32342,1.29802,,
49,2020.01.21 09:03,modify,12,0.06,1.29688,1.31728,1.29618,,
50,2020.01.21 09:30,buy,13,0.06,1.30214,1.27821,1.30361,,
51,2020.01.21 09:30,delete,14,0.06,1.29942,1.32342,1.29802,,
52,2020.01.21 09:41,t/p,13,0.06,1.30364,1.27821,1.30361,8.40,"1,026.28"
53,2020.01.21 10:03,modify,12,0.06,1.29688,1.31708,1.29618,,
54,2020.01.21 11:03,modify,12,0.06,1.29688,1.31688,1.29618,,
55,2020.01.21 12:03,modify,12,0.06,1.29688,1.31668,1.29618,,
56,2020.01.21 13:03,modify,12,0.06,1.29688,1.31648,1.29618,,
57,2020.01.21 14:03,modify,12,0.06,1.29688,1.31628,1.29618,,
58,2020.01.21 15:03,modify,12,0.06,1.29688,1.31608,1.29618,,
59,2020.01.21 16:03,modify,12,0.06,1.29688,1.31588,1.29618,,
60,2020.01.21 17:03,modify,12,0.06,1.29688,1.31568,1.29618,,
61,2020.01.21 18:03,modify,12,0.06,1.29688,1.31548,1.29618,,
62,2020.01.21 19:03,modify,12,0.06,1.29688,1.31528,1.29618,,
63,2020.01.21 20:03,modify,12,0.06,1.29688,1.31508,1.29618,,
64,2020.01.21 21:03,modify,12,0.06,1.29688,1.31488,1.29618,,
65,2020.01.21 22:03,modify,12,0.06,1.29688,1.31468,1.29618,,
66,2020.01.21 23:03,modify,12,0.06,1.29688,1.31448,1.29618,,
67,2020.01.22 00:03,modify,12,0.06,1.29688,1.31428,1.29618,,
68,2020.01.22 01:03,modify,12,0.06,1.29688,1.31408,1.29618,,
69,2020.01.22 02:03,modify,12,0.06,1.29688,1.31388,1.29618,,
70,2020.01.22 03:04,modify,12,0.06,1.29688,1.31368,1.29618,,
71,2020.01.22 04:03,modify,12,0.06,1.29688,1.31348,1.29618,,
72,2020.01.22 05:03,modify,12,0.06,1.29688,1.31328,1.29618,,
73,2020.01.22 06:03,modify,12,0.06,1.29688,1.31308,1.29618,,
74,2020.01.22 07:03,modify,12,0.06,1.29688,1.31288,1.29618,,
75,2020.01.22 08:03,modify,12,0.06,1.29688,1.31268,1.29618,,
76,2020.01.22 09:00,buy stop,15,0.12,1.30687,1.28287,1.30827,,
77,2020.01.22 09:00,sell stop,16,0.12,1.30333,1.32733,1.30193,,
78,2020.01.22 09:03,modify,12,0.06,1.29688,1.31248,1.29618,,
79,2020.01.22 10:01,buy,15,0.12,1.30686,1.28287,1.30827,,
80,2020.01.22 10:01,delete,16,0.12,1.30333,1.32733,1.30193,,
81,2020.01.22 10:03,modify,12,0.06,1.29688,1.31228,1.29618,,
82,2020.01.22 11:03,modify,12,0.06,1.29688,1.31208,1.29618,,
83,2020.01.22 11:17,t/p,15,0.12,1.30833,1.28287,1.30827,16.44,"1,042.72"
84,2020.01.22 12:03,modify,12,0.06,1.29688,1.31188,1.29618,,
85,2020.01.22 12:12,s/l,12,0.06,1.31181,1.31188,1.29618,-91.14,951.58
86,2020.01.27 09:00,buy stop,17,0.12,1.30857,1.28457,1.30997,,
87,2020.01.27 09:00,sell stop,18,0.12,1.30501,1.32901,1.30361,,
88,2020.01.27 09:22,buy,17,0.12,1.30871,1.28457,1.30997,,
89,2020.01.27 09:22,delete,18,0.12,1.30501,1.32901,1.30361,,
90,2020.01.27 09:35,t/p,17,0.12,1.30993,1.28457,1.30997,13.44,965.02
91,2020.01.28 09:00,buy stop,19,0.18,1.30596,1.28196,1.30736,,
92,2020.01.28 09:00,sell stop,20,0.18,1.30027,1.32427,1.29887,,
93,2020.01.28 13:57,sell,20,0.18,1.30018,1.32427,1.29887,,
94,2020.01.28 13:57,delete,19,0.18,1.30596,1.28196,1.30736,,
95,2020.01.28 14:28,t/p,20,0.18,1.29896,1.32427,1.29887,20.16,985.18
96,2020.01.29 09:00,buy stop,21,0.18,1.30272,1.27872,1.30412,,
97,2020.01.29 09:00,sell stop,22,0.18,1.30139,1.32539,1.29999,,
98,2020.01.29 09:03,sell,22,0.18,1.30142,1.32539,1.29999,,
99,2020.01.29 09:03,delete,21,0.18,1.30272,1.27872,1.30412,,
100,2020.01.29 13:18,t/p,22,0.18,1.30005,1.32539,1.29999,22.86,"1,008.04"
101,2020.02.05 09:00,buy stop,23,0.24,1.30536,1.28136,1.30676,,
102,2020.02.05 09:00,sell stop,24,0.24,1.30074,1.32474,1.29934,,
103,2020.02.05 09:30,buy,23,0.24,1.30532,1.28136,1.30676,,
104,2020.02.05 09:30,delete,24,0.24,1.30074,1.32474,1.29934,,
105,2020.02.05 09:33,t/p,23,0.24,1.30678,1.28136,1.30676,32.64,"1,040.68"
106,2020.02.10 09:00,buy stop,25,0.06,1.29095,1.26695,1.29165,,
107,2020.02.10 09:00,sell stop,26,0.06,1.28706,1.31106,1.28636,,
108,2020.02.10 09:45,buy,25,0.06,1.29100,1.26695,1.29165,,
109,2020.02.10 09:45,delete,26,0.06,1.28706,1.31106,1.28636,,
110,2020.02.10 10:37,t/p,25,0.06,1.29170,1.26695,1.29165,3.60,"1,044.28"
111,2020.02.11 09:00,buy stop,27,0.06,1.29223,1.26823,1.29293,,
112,2020.02.11 09:00,sell stop,28,0.06,1.28931,1.31331,1.28861,,
113,2020.02.11 09:21,buy,27,0.06,1.29217,1.26823,1.29293,,
114,2020.02.11 09:21,delete,28,0.06,1.28931,1.31331,1.28861,,
115,2020.02.11 09:22,t/p,27,0.06,1.29294,1.26823,1.29293,4.02,"1,048.30"
116,2020.02.12 09:00,buy stop,29,0.06,1.29698,1.27298,1.29768,,
117,2020.02.12 09:00,sell stop,30,0.06,1.29501,1.31901,1.29431,,
118,2020.02.12 09:01,buy,29,0.06,1.29702,1.27298,1.29768,,
119,2020.02.12 09:01,delete,30,0.06,1.29501,1.31901,1.29431,,
120,2020.02.12 09:55,t/p,29,0.06,1.29767,1.27298,1.29768,3.30,"1,051.60"
121,2020.02.17 09:00,buy stop,31,0.06,1.30514,1.28114,1.30584,,
122,2020.02.17 09:00,sell stop,32,0.06,1.30278,1.32678,1.30208,,
123,2020.02.17 09:13,buy,31,0.06,1.30521,1.28114,1.30584,,
124,2020.02.17 09:13,delete,32,0.06,1.30278,1.32678,1.30208,,
125,2020.02.17 15:13,modify,31,0.06,1.30521,1.28141,1.30584,,
126,2020.02.17 17:13,modify,31,0.06,1.30521,1.28161,1.30584,,
127,2020.02.17 18:13,modify,31,0.06,1.30521,1.28181,1.30584,,
128,2020.02.17 19:13,modify,31,0.06,1.30521,1.28201,1.30584,,
129,2020.02.17 20:13,modify,31,0.06,1.30521,1.28221,1.30584,,
130,2020.02.17 21:13,modify,31,0.06,1.30521,1.28241,1.30584,,
131,2020.02.17 22:13,modify,31,0.06,1.30521,1.28261,1.30584,,
132,2020.02.17 23:13,modify,31,0.06,1.30521,1.28281,1.30584,,
133,2020.02.18 00:13,modify,31,0.06,1.30521,1.28301,1.30584,,
134,2020.02.18 01:13,modify,31,0.06,1.30521,1.28321,1.30584,,
135,2020.02.18 02:13,modify,31,0.06,1.30521,1.28341,1.30584,,
136,2020.02.18 03:13,modify,31,0.06,1.30521,1.28361,1.30584,,
137,2020.02.18 04:13,modify,31,0.06,1.30521,1.28381,1.30584,,
138,2020.02.18 05:13,modify,31,0.06,1.30521,1.28401,1.30584,,
139,2020.02.18 06:13,modify,31,0.06,1.30521,1.28421,1.30584,,
140,2020.02.18 07:13,modify,31,0.06,1.30521,1.28441,1.30584,,
141,2020.02.18 08:13,modify,31,0.06,1.30521,1.28461,1.30584,,
142,2020.02.18 09:00,buy stop,33,0.06,1.30062,1.27662,1.30202,,
143,2020.02.18 09:00,sell stop,34,0.06,1.29695,1.32095,1.29555,,
144,2020.02.18 09:13,modify,31,0.06,1.30521,1.28481,1.30584,,
145,2020.02.18 10:13,modify,31,0.06,1.30521,1.28501,1.30584,,
146,2020.02.18 10:17,buy,33,0.06,1.30060,1.27662,1.30202,,
147,2020.02.18 10:17,delete,34,0.06,1.29695,1.32095,1.29555,,
148,2020.02.18 10:22,t/p,33,0.06,1.30201,1.27662,1.30202,7.86,"1,059.46"
149,2020.02.18 11:13,modify,31,0.06,1.30521,1.28521,1.30584,,
150,2020.02.18 12:13,modify,31,0.06,1.30521,1.28541,1.30584,,
151,2020.02.18 13:13,modify,31,0.06,1.30521,1.28561,1.30584,,
152,2020.02.18 14:13,modify,31,0.06,1.30521,1.28581,1.30584,,
153,2020.02.18 15:13,modify,31,0.06,1.30521,1.28601,1.30584,,
154,2020.02.18 16:13,modify,31,0.06,1.30521,1.28621,1.30584,,
155,2020.02.18 17:13,modify,31,0.06,1.30521,1.28641,1.30584,,
156,2020.02.18 18:13,modify,31,0.06,1.30521,1.28661,1.30584,,
157,2020.02.18 19:13,modify,31,0.06,1.30521,1.28681,1.30584,,
158,2020.02.18 20:13,modify,31,0.06,1.30521,1.28701,1.30584,,
159,2020.02.18 21:13,modify,31,0.06,1.30521,1.28721,1.30584,,
160,2020.02.18 22:13,modify,31,0.06,1.30521,1.28741,1.30584,,
161,2020.02.18 23:13,modify,31,0.06,1.30521,1.28761,1.30584,,
162,2020.02.19 00:13,modify,31,0.06,1.30521,1.28781,1.30584,,
163,2020.02.19 01:13,modify,31,0.06,1.30521,1.28801,1.30584,,
164,2020.02.19 02:13,modify,31,0.06,1.30521,1.28821,1.30584,,
165,2020.02.19 03:13,modify,31,0.06,1.30521,1.28841,1.30584,,
166,2020.02.19 04:13,modify,31,0.06,1.30521,1.28861,1.30584,,
167,2020.02.19 05:13,modify,31,0.06,1.30521,1.28881,1.30584,,
168,2020.02.19 06:13,modify,31,0.06,1.30521,1.28901,1.30584,,
169,2020.02.19 07:13,modify,31,0.06,1.30521,1.28921,1.30584,,
170,2020.02.19 08:13,modify,31,0.06,1.30521,1.28941,1.30584,,
171,2020.02.19 09:00,buy stop,35,0.12,1.30057,1.27657,1.30197,,
172,2020.02.19 09:00,sell stop,36,0.12,1.29857,1.32257,1.29717,,
173,2020.02.19 09:09,sell,36,0.12,1.29852,1.32257,1.29717,,
174,2020.02.19 09:09,delete,35,0.12,1.30057,1.27657,1.30197,,
175,2020.02.19 09:13,modify,31,0.06,1.30521,1.28961,1.30584,,
176,2020.02.19 10:13,modify,31,0.06,1.30521,1.28981,1.30584,,
177,2020.02.19 11:13,modify,31,0.06,1.30521,1.29001,1.30584,,
178,2020.02.19 12:13,modify,31,0.06,1.30521,1.29021,1.30584,,
179,2020.02.19 13:13,modify,31,0.06,1.30521,1.29041,1.30584,,
180,2020.02.19 14:04,t/p,36,0.12,1.29713,1.32257,1.29717,15.48,"1,074.94"
181,2020.02.19 14:13,modify,31,0.06,1.30521,1.29061,1.30584,,
182,2020.02.19 15:13,modify,31,0.06,1.30521,1.29081,1.30584,,
183,2020.02.19 16:13,modify,31,0.06,1.30521,1.29101,1.30584,,
184,2020.02.19 17:13,modify,31,0.06,1.30521,1.29121,1.30584,,
185,2020.02.19 18:13,modify,31,0.06,1.30521,1.29141,1.30584,,
186,2020.02.19 19:01,s/l,31,0.06,1.29144,1.29141,1.30584,-84.23,990.71
187,2020.02.24 09:00,buy stop,37,0.12,1.29550,1.27150,1.29690,,
