Max Drawdown ,2860,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.06 09:00,buy stop,1,0.06,1.31094,1.30494,1.31694,,
2,2020.01.06 09:00,sell stop,2,0.06,1.30623,1.31223,1.30023,,
3,2020.01.06 09:00,buy,1,0.06,1.31094,1.30494,1.31694,,
4,2020.01.06 09:00,delete,2,0.06,1.30623,1.31223,1.30023,,
5,2020.01.06 10:39,t/p,1,0.06,1.31694,1.30494,1.31694,36,"30,036.00"
6,2020.01.08 09:00,buy stop,3,0.06,1.31704,1.31104,1.32304,,
7,2020.01.08 09:00,sell stop,4,0.06,1.31148,1.31748,1.30548,,
8,2020.01.08 09:59,sell,4,0.06,1.31145,1.31748,1.30548,,
9,2020.01.08 09:59,delete,3,0.06,1.31704,1.31104,1.32304,,
10,2020.01.08 15:59,modify,4,0.06,1.31145,1.31725,1.30548,,
11,2020.01.08 17:59,modify,4,0.06,1.31145,1.31705,1.30548,,
12,2020.01.08 18:59,modify,4,0.06,1.31145,1.31685,1.30548,,
13,2020.01.08 19:59,modify,4,0.06,1.31145,1.31665,1.30548,,
14,2020.01.08 20:59,modify,4,0.06,1.31145,1.31645,1.30548,,
15,2020.01.08 21:59,modify,4,0.06,1.31145,1.31625,1.30548,,
16,2020.01.08 22:59,modify,4,0.06,1.31145,1.31605,1.30548,,
17,2020.01.08 23:59,modify,4,0.06,1.31145,1.31585,1.30548,,
18,2020.01.09 00:59,modify,4,0.06,1.31145,1.31565,1.30548,,
19,2020.01.09 01:59,modify,4,0.06,1.31145,1.31545,1.30548,,
20,2020.01.09 02:59,modify,4,0.06,1.31145,1.31525,1.30548,,
21,2020.01.09 03:59,modify,4,0.06,1.31145,1.31505,1.30548,,
22,2020.01.09 04:59,modify,4,0.06,1.31145,1.31485,1.30548,,
23,2020.01.09 05:59,modify,4,0.06,1.31145,1.31465,1.30548,,
24,2020.01.09 06:59,modify,4,0.06,1.31145,1.31445,1.30548,,
25,2020.01.09 07:59,modify,4,0.06,1.31145,1.31425,1.30548,,
26,2020.01.09 08:59,modify,4,0.06,1.31145,1.31405,1.30548,,
27,2020.01.09 09:40,t/p,4,0.06,1.30535,1.31405,1.30548,36.58,"30,072.58"
28,2020.01.13 09:00,buy stop,5,0.06,1.3042,1.2982,1.3102,,
29,2020.01.13 09:00,sell stop,6,0.06,1.29839,1.30439,1.29239,,
30,2020.01.13 09:15,sell,6,0.06,1.29839,1.30439,1.29239,,
31,2020.01.13 09:15,delete,5,0.06,1.3042,1.2982,1.3102,,
32,2020.01.13 15:15,modify,6,0.06,1.29839,1.30419,1.29239,,
33,2020.01.13 17:15,modify,6,0.06,1.29839,1.30399,1.29239,,
34,2020.01.13 18:15,modify,6,0.06,1.29839,1.30379,1.29239,,
35,2020.01.13 19:15,modify,6,0.06,1.29839,1.30359,1.29239,,
36,2020.01.13 20:15,modify,6,0.06,1.29839,1.30339,1.29239,,
37,2020.01.13 21:16,modify,6,0.06,1.29839,1.30319,1.29239,,
38,2020.01.13 22:15,modify,6,0.06,1.29839,1.30299,1.29239,,
39,2020.01.13 23:16,modify,6,0.06,1.29839,1.30279,1.29239,,
40,2020.01.14 00:16,modify,6,0.06,1.29839,1.30259,1.29239,,
41,2020.01.14 01:15,modify,6,0.06,1.29839,1.30239,1.29239,,
42,2020.01.14 02:15,modify,6,0.06,1.29839,1.30219,1.29239,,
43,2020.01.14 03:16,modify,6,0.06,1.29839,1.30199,1.29239,,
44,2020.01.14 04:15,modify,6,0.06,1.29839,1.30179,1.29239,,
45,2020.01.14 05:16,modify,6,0.06,1.29839,1.30159,1.29239,,
46,2020.01.14 06:15,modify,6,0.06,1.29839,1.30139,1.29239,,
47,2020.01.14 07:15,modify,6,0.06,1.29839,1.30119,1.29239,,
48,2020.01.14 08:15,modify,6,0.06,1.29839,1.30099,1.29239,,
49,2020.01.14 09:00,close,6,0.06,1.29715,1.30099,1.29239,7.43,"30,080.02"
50,2020.01.14 09:00,buy stop,7,0.06,1.3003,1.2943,1.3063,,
51,2020.01.14 09:00,sell stop,8,0.06,1.29532,1.30132,1.28932,,
52,2020.01.14 11:38,buy,7,0.06,1.30035,1.2943,1.3063,,
53,2020.01.14 11:38,delete,8,0.06,1.29532,1.30132,1.28932,,
54,2020.01.14 17:38,modify,7,0.06,1.30035,1.29455,1.3063,,
55,2020.01.14 19:38,modify,7,0.06,1.30035,1.29475,1.3063,,
56,2020.01.14 20:38,modify,7,0.06,1.30035,1.29495,1.3063,,
57,2020.01.14 21:39,modify,7,0.06,1.30035,1.29515,1.3063,,
58,2020.01.14 22:38,modify,7,0.06,1.30035,1.29535,1.3063,,
59,2020.01.14 23:39,modify,7,0.06,1.30035,1.29555,1.3063,,
60,2020.01.15 00:38,modify,7,0.06,1.30035,1.29575,1.3063,,
61,2020.01.15 01:38,modify,7,0.06,1.30035,1.29595,1.3063,,
62,2020.01.15 02:38,modify,7,0.06,1.30035,1.29615,1.3063,,
63,2020.01.15 03:38,modify,7,0.06,1.30035,1.29635,1.3063,,
64,2020.01.15 04:39,modify,7,0.06,1.30035,1.29655,1.3063,,
65,2020.01.15 05:38,modify,7,0.06,1.30035,1.29675,1.3063,,
66,2020.01.15 06:38,modify,7,0.06,1.30035,1.29695,1.3063,,
67,2020.01.15 07:38,modify,7,0.06,1.30035,1.29715,1.3063,,
68,2020.01.15 08:38,modify,7,0.06,1.30035,1.29735,1.3063,,
69,2020.01.15 09:00,close,7,0.06,1.30169,1.29735,1.3063,7.89,"30,087.91"
