max drawdown ,2896,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.02.05 10:00,sell,1,0.1,74.276,0,0,,
2,2020.02.07 00:37,close,1,0.1,73.904,0,0,21.49,"10,021.49"
3,2020.03.08 22:00,buy,2,0.1,68.902,0,0,,
4,2020.03.08 23:50,buy,3,0.1,68.614,0,0,,
5,2020.03.09 02:36,buy,4,0.1,68.326,0,0,,
6,2020.03.09 02:41,buy,5,0.1,68.041,0,0,,
7,2020.03.09 02:42,buy,6,0.1,67.752,0,0,,
8,2020.03.09 02:47,buy,7,0.1,67.47,0,0,,
9,2020.03.09 02:49,buy,8,0.1,67.165,0,0,,
10,2020.03.09 02:49,buy,9,0.1,66.88,0,0,,
11,2020.03.09 02:49,buy,10,0.1,66.6,0,0,,
12,2020.03.09 02:49,buy,11,0.1,66.312,0,0,,
13,2020.03.09 14:46,close,2,0.1,67.949,0,0,-65.89,"9,955.60"
14,2020.03.09 14:46,close,3,0.1,67.949,0,0,-45.98,"9,909.62"
15,2020.03.09 14:46,close,4,0.1,67.949,0,0,-26.07,"9,883.55"
16,2020.03.09 14:46,close,5,0.1,67.949,0,0,-6.36,"9,877.19"
17,2020.03.09 14:46,close,6,0.1,67.949,0,0,13.62,"9,890.81"
18,2020.03.09 14:46,close,7,0.1,67.949,0,0,33.11,"9,923.92"
19,2020.03.09 14:46,close,8,0.1,67.949,0,0,54.2,"9,978.12"
20,2020.03.09 14:46,close,9,0.1,67.949,0,0,73.9,"10,052.02"
21,2020.03.09 14:46,close,10,0.1,67.949,0,0,93.26,"10,145.28"
22,2020.03.09 14:46,close,11,0.1,67.949,0,0,113.17,"10,258.45"
23,2020.03.12 03:00,buy,12,0.1,66.904,0,0,,
24,2020.03.12 03:07,buy,13,0.1,66.625,0,0,,
25,2020.03.12 05:22,close,12,0.1,67.101,0,0,13.61,"10,272.06"
26,2020.03.12 05:22,close,13,0.1,67.101,0,0,32.9,"10,304.96"
27,2020.03.12 22:00,buy,14,0.1,65.287,0,0,,
28,2020.03.12 22:23,close,14,0.1,65.62,0,0,23.03,"10,327.99"
29,2020.03.19 03:00,buy,15,0.1,60.632,0,0,,
30,2020.03.19 03:00,buy,16,0.1,60.383,0,0,,
31,2020.03.19 03:00,buy,17,0.1,60.135,0,0,,
32,2020.03.19 03:01,close,15,0.1,60.688,0,0,3.87,"10,331.86"
33,2020.03.19 03:01,close,16,0.1,60.688,0,0,21.09,"10,352.95"
34,2020.03.19 03:01,close,17,0.1,60.688,0,0,38.23,"10,391.18"
35,2020.03.27 14:00,buy,18,0.1,65.593,0,0,,
36,2020.03.27 16:49,close,18,0.1,65.922,0,0,22.74,"10,413.92"
37,2020.03.31 04:00,sell,19,0.1,67.165,0,0,,
38,2020.03.31 08:36,close,19,0.1,66.829,0,0,23.22,"10,437.14"
39,2020.04.01 08:00,buy,20,0.1,65.431,0,0,,
40,2020.04.01 13:03,buy,21,0.1,65.16,0,0,,
41,2020.04.01 15:49,close,20,0.1,65.624,0,0,13.34,"10,450.48"
42,2020.04.01 15:49,close,21,0.1,65.624,0,0,32.08,"10,482.56"
43,2020.04.02 14:00,buy,22,0.1,64.761,0,0,,
44,2020.04.02 14:13,buy,23,0.1,64.492,0,0,,
45,2020.04.02 15:29,close,22,0.1,64.951,0,0,13.13,"10,495.69"
46,2020.04.02 15:29,close,23,0.1,64.951,0,0,31.73,"10,527.42"
47,2020.04.07 08:00,sell,24,0.1,67.175,0,0,,
48,2020.04.07 08:51,sell,25,0.1,67.455,0,0,,
49,2020.04.08 00:51,close,24,0.1,66.974,0,0,12.83,"10,540.25"
50,2020.04.08 00:51,close,25,0.1,66.974,0,0,32.19,"10,572.45"
51,2020.04.09 14:00,sell,26,0.1,68.298,0,0,,
52,2020.04.09 18:31,sell,27,0.1,68.598,0,0,,
53,2020.04.10 07:13,sell,28,0.1,68.884,0,0,,
54,2020.04.14 02:55,sell,29,0.1,69.173,0,0,,
55,2020.04.15 06:56,close,26,0.1,68.393,0,0,-10.79,"10,561.65"
56,2020.04.15 06:56,close,27,0.1,68.393,0,0,9.95,"10,571.60"
57,2020.04.15 06:56,close,28,0.1,68.393,0,0,30.77,"10,602.37"
58,2020.04.15 06:56,close,29,0.1,68.393,0,0,52.86,"10,655.24"
59,2020.05.27 11:00,sell,30,0.1,71.856,0,0,,
60,2020.05.27 13:57,close,30,0.1,71.496,0,0,24.88,"10,680.12"
61,2020.06.02 10:00,sell,31,0.1,73.747,0,0,,
62,2020.06.02 13:07,sell,32,0.1,74.061,0,0,,
63,2020.06.02 14:26,sell,33,0.1,74.376,0,0,,
64,2020.06.02 15:27,sell,34,0.1,74.693,0,0,,
65,2020.06.03 00:24,sell,35,0.1,75.014,0,0,,
66,2020.06.03 00:42,sell,36,0.1,75.333,0,0,,
67,2020.06.03 01:45,sell,37,0.1,75.653,0,0,,
68,2020.06.04 15:53,sell,38,0.1,75.976,0,0,,
69,2020.06.05 06:52,sell,39,0.1,76.299,0,0,,
70,2020.06.05 08:32,sell,40,0.1,76.625,0,0,,
71,2020.06.09 08:37,close,31,0.1,74.794,0,0,-79.77,"10,600.35"
72,2020.06.09 08:37,close,32,0.1,74.794,0,0,-58.06,"10,542.29"
73,2020.06.09 08:37,close,33,0.1,74.794,0,0,-36.29,"10,506.00"
74,2020.06.09 08:37,close,34,0.1,74.794,0,0,-14.37,"10,491.63"
75,2020.06.09 08:37,close,35,0.1,74.794,0,0,8.88,"10,500.50"
76,2020.06.09 08:37,close,36,0.1,74.794,0,0,30.93,"10,531.43"
77,2020.06.09 08:37,close,37,0.1,74.794,0,0,53.05,"10,584.48"
78,2020.06.09 08:37,close,38,0.1,74.794,0,0,78.54,"10,663.02"
79,2020.06.09 08:37,close,39,0.1,74.794,0,0,101.92,"10,764.94"
80,2020.06.09 08:37,close,40,0.1,74.794,0,0,124.46,"10,889.40"
81,2020.11.09 13:00,sell,41,0.1,76.998,0,0,,
82,2020.11.09 22:38,close,41,0.1,76.613,0,0,26.61,"10,916.01"
83,2021.07.08 09:00,buy,42,0.1,81.735,0,0,,
84,2021.07.08 15:59,buy,43,0.1,81.383,0,0,,
85,2021.07.09 10:17,close,42,0.1,81.967,0,0,16.04,"10,932.05"
86,2021.07.09 10:17,close,43,0.1,81.967,0,0,40.38,"10,972.43"
87,2021.12.03 17:00,buy,44,0.1,79.179,0,0,,
88,2021.12.06 09:01,close,44,0.1,79.576,0,0,27.45,"10,999.88"
89,2022.02.10 16:00,sell,45,0.1,83.912,0,0,,
90,2022.02.10 18:34,close,45,0.1,83.489,0,0,29.24,"11,029.12"
91,2022.03.24 16:00,sell,46,0.1,91.742,0,0,,
92,2022.03.25 05:18,close,46,0.1,91.283,0,0,30.67,"11,059.79"
93,2022.03.28 10:00,sell,47,0.1,93.879,0,0,,
94,2022.03.28 10:49,close,47,0.1,93.407,0,0,32.63,"11,092.42"
95,2022.03.29 15:00,buy,48,0.1,91.621,0,0,,
96,2022.03.29 15:56,close,48,0.1,92.082,0,0,31.87,"11,124.29"
97,2022.03.31 08:00,buy,49,0.1,90.963,0,0,,
98,2022.04.01 01:54,close,49,0.1,91.418,0,0,31.46,"11,155.75"
99,2022.04.28 08:00,sell,50,0.1,92.9,0,0,,
100,2022.04.28 08:39,sell,51,0.1,93.311,0,0,,
101,2022.04.28 11:15,close,50,0.1,92.638,0,0,18.12,"11,173.87"
102,2022.04.28 11:15,close,51,0.1,92.638,0,0,46.53,"11,220.40"
103,2022.05.04 21:00,sell,52,0.1,93.713,0,0,,
104,2022.05.05 13:46,close,52,0.1,93.244,0,0,29.25,"11,249.65"
105,2022.05.09 02:00,buy,53,0.1,91.822,0,0,,
106,2022.05.09 15:29,buy,54,0.1,91.418,0,0,,
107,2022.05.09 16:21,buy,55,0.1,91.013,0,0,,
108,2022.05.09 20:29,buy,56,0.1,90.61,0,0,,
109,2022.05.10 01:17,buy,57,0.1,90.212,0,0,,
110,2022.05.10 02:04,buy,58,0.1,89.815,0,0,,
111,2022.05.11 14:24,close,53,0.1,91.271,0,0,-38.1,"11,211.55"
112,2022.05.11 14:24,close,54,0.1,91.271,0,0,-10.17,"11,201.38"
113,2022.05.11 14:24,close,55,0.1,91.271,0,0,17.83,"11,219.21"
114,2022.05.11 14:24,close,56,0.1,91.271,0,0,45.69,"11,264.90"
115,2022.05.11 14:24,close,57,0.1,91.271,0,0,73.21,"11,338.11"
116,2022.05.11 14:24,close,58,0.1,91.271,0,0,100.66,"11,438.77"
117,2022.06.10 14:00,buy,59,0.1,94.793,0,0,,
118,2022.06.13 08:45,buy,60,0.1,94.376,0,0,,
119,2022.06.13 09:21,buy,61,0.1,93.96,0,0,,
120,2022.06.13 14:04,buy,62,0.1,93.547,0,0,,
121,2022.06.13 14:53,buy,63,0.1,93.136,0,0,,
122,2022.06.13 15:48,buy,64,0.1,92.726,0,0,,
123,2022.06.16 01:10,close,59,0.1,94.227,0,0,-39.13,"11,399.64"
124,2022.06.16 01:10,close,60,0.1,94.227,0,0,-10.3,"11,389.34"
