max drawdown ,4596,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.28 09:00,buy,1,0.1,0.67432,0,0,,
2,2020.01.29 00:41,close,1,0.1,0.67703,0,0,26.88,"10,026.88"
3,2020.01.31 10:00,buy,2,0.1,0.66893,0,0,,
4,2020.02.04 03:37,close,2,0.1,0.67164,0,0,26.66,"10,053.54"
5,2020.02.05 09:00,sell,3,0.1,0.67598,0,0,,
6,2020.02.06 15:16,close,3,0.1,0.67327,0,0,27.07,"10,080.61"
7,2020.02.07 10:00,buy,4,0.1,0.66838,0,0,,
8,2020.02.11 05:16,close,4,0.1,0.67106,0,0,26.36,"10,106.97"
9,2020.02.28 05:00,buy,5,0.1,0.65246,0,0,,
10,2020.02.28 11:57,buy,6,0.1,0.64991,0,0,,
11,2020.02.28 15:55,buy,7,0.1,0.6474,0,0,,
12,2020.02.28 15:58,buy,8,0.1,0.6449,0,0,,
13,2020.02.28 19:37,close,5,0.1,0.65134,0,0,-11.2,"10,095.77"
14,2020.02.28 19:37,close,6,0.1,0.65134,0,0,14.3,"10,110.07"
15,2020.02.28 19:37,close,7,0.1,0.65134,0,0,39.4,"10,149.47"
16,2020.02.28 19:37,close,8,0.1,0.65134,0,0,64.4,"10,213.87"
17,2020.03.03 16:00,sell,9,0.1,0.66226,0,0,,
18,2020.03.03 16:24,close,9,0.1,0.65958,0,0,26.8,"10,240.67"
19,2020.03.09 03:00,buy,10,0.1,0.64719,0,0,,
20,2020.03.09 03:02,close,10,0.1,0.6498,0,0,26.1,"10,266.77"
21,2020.03.12 14:00,buy,11,0.1,0.63482,0,0,,
22,2020.03.12 15:21,buy,12,0.1,0.63237,0,0,,
23,2020.03.12 16:13,buy,13,0.1,0.6299,0,0,,
24,2020.03.12 16:44,buy,14,0.1,0.62747,0,0,,
25,2020.03.12 17:54,close,11,0.1,0.63367,0,0,-11.5,"10,255.27"
26,2020.03.12 17:54,close,12,0.1,0.63367,0,0,13,"10,268.27"
27,2020.03.12 17:54,close,13,0.1,0.63367,0,0,37.7,"10,305.97"
28,2020.03.12 17:54,close,14,0.1,0.63367,0,0,62,"10,367.97"
29,2020.03.17 10:00,buy,15,0.1,0.60663,0,0,,
30,2020.03.17 10:47,buy,16,0.1,0.60428,0,0,,
31,2020.03.17 11:39,buy,17,0.1,0.60194,0,0,,
32,2020.03.17 11:59,buy,18,0.1,0.59962,0,0,,
33,2020.03.17 16:56,buy,19,0.1,0.59728,0,0,,
34,2020.03.18 09:28,buy,20,0.1,0.59493,0,0,,
35,2020.03.18 09:54,buy,21,0.1,0.59264,0,0,,
36,2020.03.18 13:04,buy,22,0.1,0.59029,0,0,,
37,2020.03.18 14:27,buy,23,0.1,0.58801,0,0,,
38,2020.03.18 16:16,buy,24,0.1,0.58574,0,0,,
39,2020.03.24 23:31,close,15,0.1,0.59853,0,0,-82.54,"10,285.43"
40,2020.03.24 23:31,close,16,0.1,0.59853,0,0,-59.04,"10,226.39"
41,2020.03.24 23:31,close,17,0.1,0.59853,0,0,-35.64,"10,190.75"
42,2020.03.24 23:31,close,18,0.1,0.59853,0,0,-12.44,"10,178.31"
43,2020.03.24 23:31,close,19,0.1,0.59853,0,0,10.96,"10,189.27"
44,2020.03.24 23:31,close,20,0.1,0.59853,0,0,34.68,"10,223.95"
45,2020.03.24 23:31,close,21,0.1,0.59853,0,0,57.58,"10,281.53"
46,2020.03.24 23:31,close,22,0.1,0.59853,0,0,81.08,"10,362.61"
47,2020.03.24 23:31,close,23,0.1,0.59853,0,0,103.88,"10,466.49"
48,2020.03.24 23:31,close,24,0.1,0.59853,0,0,126.58,"10,593.07"
49,2020.03.27 19:00,sell,25,0.1,0.61777,0,0,,
50,2020.03.29 22:05,close,25,0.1,0.61506,0,0,27.1,"10,620.17"
51,2020.04.02 14:00,buy,26,0.1,0.60371,0,0,,
52,2020.04.02 14:13,buy,27,0.1,0.60137,0,0,,
53,2020.04.02 15:31,close,26,0.1,0.605,0,0,12.9,"10,633.07"
54,2020.04.02 15:31,close,27,0.1,0.605,0,0,36.3,"10,669.37"
55,2020.04.03 11:00,buy,28,0.1,0.59971,0,0,,
56,2020.04.03 15:57,close,28,0.1,0.60211,0,0,24,"10,693.37"
57,2020.04.07 06:00,sell,29,0.1,0.61463,0,0,,
