MAX Drawdwon ,7780,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.02.28 04:00,sell,1,0.1,1.68085,0,0,,
2,2020.02.28 05:40,sell,2,0.1,1.68725,0,0,,
3,2020.02.28 10:50,sell,3,0.1,1.69366,0,0,,
4,2020.02.28 15:57,sell,4,0.1,1.7001,0,0,,
5,2020.02.28 15:59,sell,5,0.1,1.70663,0,0,,
6,2020.03.03 15:01,close,1,0.1,1.68684,0,0,-39.21,"9,960.79"
7,2020.03.03 15:01,close,2,0.1,1.68684,0,0,2.68,"9,963.47"
8,2020.03.03 15:01,close,3,0.1,1.68684,0,0,44.64,"10,008.11"
9,2020.03.03 15:01,close,4,0.1,1.68684,0,0,86.79,"10,094.90"
10,2020.03.03 15:01,close,5,0.1,1.68684,0,0,129.54,"10,224.44"
11,2020.03.08 23:00,sell,6,0.1,1.71966,0,0,,
12,2020.03.08 23:22,close,6,0.1,1.71277,0,0,45.1,"10,269.54"
13,2020.03.09 00:00,sell,7,0.1,1.72285,0,0,,
14,2020.03.09 02:35,sell,8,0.1,1.72947,0,0,,
15,2020.03.09 02:41,sell,9,0.1,1.73609,0,0,,
16,2020.03.09 02:42,sell,10,0.1,1.74273,0,0,,
17,2020.03.09 02:49,sell,11,0.1,1.74938,0,0,,
18,2020.03.09 02:49,sell,12,0.1,1.75609,0,0,,
19,2020.03.09 02:49,sell,13,0.1,1.76313,0,0,,
20,2020.03.09 02:49,sell,14,0.1,1.7701,0,0,,
21,2020.03.09 02:49,sell,15,0.1,1.77702,0,0,,
22,2020.03.09 02:50,sell,16,0.1,1.78395,0,0,,
23,2020.03.09 03:47,close,7,0.1,1.74605,0,0,-151.87,"10,117.67"
24,2020.03.09 03:47,close,8,0.1,1.74605,0,0,-108.53,"10,009.14"
25,2020.03.09 03:47,close,9,0.1,1.74605,0,0,-65.2,"9,943.94"
26,2020.03.09 03:47,close,10,0.1,1.74605,0,0,-21.73,"9,922.21"
27,2020.03.09 03:47,close,11,0.1,1.74605,0,0,21.8,"9,944.01"
28,2020.03.09 03:47,close,12,0.1,1.74605,0,0,65.72,"10,009.73"
29,2020.03.09 03:47,close,13,0.1,1.74605,0,0,111.8,"10,121.53"
30,2020.03.09 03:47,close,14,0.1,1.74605,0,0,157.43,"10,278.96"
31,2020.03.09 03:47,close,15,0.1,1.74605,0,0,202.73,"10,481.69"
32,2020.03.09 03:47,close,16,0.1,1.74605,0,0,248.09,"10,729.78"
33,2020.03.09 04:00,sell,17,0.1,1.74065,0,0,,
34,2020.03.09 04:20,close,17,0.1,1.73356,0,0,46.41,"10,776.19"
35,2020.03.09 05:00,sell,18,0.1,1.75039,0,0,,
36,2020.03.09 06:00,close,18,0.1,1.74337,0,0,45.95,"10,822.14"
37,2020.03.09 07:00,sell,19,0.1,1.74072,0,0,,
38,2020.03.09 08:08,sell,20,0.1,1.74735,0,0,,
39,2020.03.09 09:37,close,19,0.1,1.73705,0,0,24.02,"10,846.16"
40,2020.03.09 09:37,close,20,0.1,1.73705,0,0,67.42,"10,913.58"
41,2020.03.09 10:00,sell,21,0.1,1.72956,0,0,,
42,2020.03.09 10:22,close,21,0.1,1.7225,0,0,46.21,"10,959.79"
43,2020.03.09 11:00,sell,22,0.1,1.72877,0,0,,
44,2020.03.09 14:32,sell,23,0.1,1.73535,0,0,,
45,2020.03.09 14:46,close,22,0.1,1.72505,0,0,24.36,"10,984.15"
46,2020.03.09 14:46,close,23,0.1,1.72505,0,0,67.43,"11,051.58"
47,2020.03.09 15:00,sell,24,0.1,1.72564,0,0,,
48,2020.03.09 15:27,close,24,0.1,1.71863,0,0,45.89,"11,097.47"
49,2020.03.09 16:00,buy,25,0.1,1.71655,0,0,,
50,2020.03.09 16:39,buy,26,0.1,1.70999,0,0,,
51,2020.03.09 17:16,close,25,0.1,1.72016,0,0,23.63,"11,121.10"
52,2020.03.09 17:16,close,26,0.1,1.72016,0,0,66.57,"11,187.67"
53,2020.03.09 18:00,buy,27,0.1,1.7331,0,0,,
54,2020.03.09 19:06,close,27,0.1,1.74005,0,0,45.49,"11,233.16"
55,2020.03.09 20:00,sell,28,0.1,1.73746,0,0,,
56,2020.03.10 00:13,close,28,0.1,1.73051,0,0,45.49,"11,278.65"
57,2020.03.10 01:00,sell,29,0.1,1.72759,0,0,,
58,2020.03.10 02:46,sell,30,0.1,1.73421,0,0,,
59,2020.03.10 15:50,sell,31,0.1,1.74081,0,0,,
60,2020.03.10 16:56,sell,32,0.1,1.74751,0,0,,
61,2020.03.11 16:08,close,29,0.1,1.73057,0,0,-19.5,"11,259.15"
62,2020.03.11 16:08,close,30,0.1,1.73057,0,0,23.83,"11,282.98"
63,2020.03.11 16:08,close,31,0.1,1.73057,0,0,67.04,"11,350.02"
64,2020.03.11 16:08,close,32,0.1,1.73057,0,0,110.9,"11,460.92"
65,2020.03.12 14:00,sell,33,0.1,1.76657,0,0,,
66,2020.03.12 14:56,sell,34,0.1,1.77331,0,0,,
67,2020.03.12 15:10,close,33,0.1,1.76285,0,0,24.35,"11,485.27"
68,2020.03.12 15:10,close,34,0.1,1.76285,0,0,68.48,"11,553.75"
69,2020.03.12 16:00,sell,35,0.1,1.76012,0,0,,
70,2020.03.12 16:17,sell,36,0.1,1.76683,0,0,,
