max drawdown,1162,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.05.27 11:00,sell,1,0.1,1.06889,0,0,,
2,2020.05.27 15:57,close,1,0.1,1.06461,0,0,53.57,"10,053.57"
3,2020.06.04 16:00,sell,2,0.1,1.08562,0,0,,
4,2020.06.05 14:18,sell,3,0.1,1.08974,0,0,,
5,2020.06.08 14:15,close,2,0.1,1.08332,0,0,27.13,"10,080.70"
6,2020.06.08 14:15,close,3,0.1,1.08332,0,0,79.52,"10,160.22"
7,2020.06.09 09:00,buy,4,0.1,1.07692,0,0,,
8,2020.06.10 19:01,buy,5,0.1,1.07283,0,0,,
9,2020.06.11 15:57,buy,6,0.1,1.06877,0,0,,
10,2020.06.11 22:20,buy,7,0.1,1.06471,0,0,,
11,2020.06.15 23:15,close,4,0.1,1.0751,0,0,-22.79,"10,137.43"
12,2020.06.15 23:15,close,5,0.1,1.0751,0,0,28.41,"10,165.84"
13,2020.06.15 23:15,close,6,0.1,1.0751,0,0,79.24,"10,245.08"
14,2020.06.15 23:15,close,7,0.1,1.0751,0,0,130.06,"10,375.14"
15,2020.07.15 12:00,sell,8,0.1,1.07645,0,0,,
16,2020.07.23 13:59,close,8,0.1,1.07212,0,0,45.95,"10,421.09"
17,2020.07.27 13:00,sell,9,0.1,1.08292,0,0,,
18,2020.07.28 09:57,close,9,0.1,1.07858,0,0,53.49,"10,474.59"
19,2020.09.01 13:00,sell,10,0.1,1.0867,0,0,,
20,2020.09.02 08:23,close,10,0.1,1.08234,0,0,53.74,"10,528.33"
21,2020.11.09 14:00,sell,11,0.1,1.07888,0,0,,
22,2020.11.24 10:02,sell,12,0.1,1.083,0,0,,
23,2020.11.25 09:46,sell,13,0.1,1.08711,0,0,,
24,2020.12.07 16:00,close,11,0.1,1.07866,0,0,-20.35,"10,507.98"
25,2020.12.07 16:00,close,12,0.1,1.07866,0,0,43.59,"10,551.58"
26,2020.12.07 16:00,close,13,0.1,1.07866,0,0,95.86,"10,647.44"
27,2021.02.25 10:00,sell,14,0.1,1.10722,0,0,,
28,2021.02.25 18:16,close,14,0.1,1.10278,0,0,55.57,"10,703.01"
29,2021.08.17 09:00,buy,15,0.1,1.07232,0,0,,
30,2021.08.26 07:45,close,15,0.1,1.07661,0,0,53.71,"10,756.72"
31,2022.02.11 20:00,buy,16,0.1,1.04898,0,0,,
32,2022.02.14 19:14,buy,17,0.1,1.04502,0,0,,
33,2022.02.15 15:38,close,16,0.1,1.05119,0,0,27.67,"10,784.39"
34,2022.02.15 15:38,close,17,0.1,1.05119,0,0,77.24,"10,861.63"
35,2022.02.25 14:00,sell,18,0.1,1.04167,0,0,,
36,2022.02.27 22:11,close,18,0.1,1.03132,0,0,129.55,"10,991.18"
37,2022.03.29 11:00,sell,19,0.1,1.03323,0,0,,
38,2022.03.29 12:47,sell,20,0.1,1.03718,0,0,,
39,2022.03.30 11:00,close,19,0.1,1.03098,0,0,27.34,"11,018.51"
40,2022.03.30 11:00,close,20,0.1,1.03098,0,0,76.77,"11,095.29"
41,2022.04.21 10:00,sell,21,0.1,1.03575,0,0,,
42,2022.04.22 08:48,close,21,0.1,1.03159,0,0,51.24,"11,146.53"
43,2022.05.09 12:00,sell,22,0.1,1.04684,0,0,,
44,2022.05.10 11:00,sell,23,0.1,1.05079,0,0,,
45,2022.05.11 09:56,close,22,0.1,1.0446,0,0,26.39,"11,172.92"
46,2022.05.11 09:56,close,23,0.1,1.0446,0,0,76.66,"11,249.58"
