max drawdwon,932,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.03.09 03:00,buy,1,0.1,116.893,0,0,,
2,2020.03.09 03:08,close,1,0.1,117.373,0,0,33.18,"10,033.18"
3,2020.03.23 15:00,sell,2,0.1,119.376,0,0,,
4,2020.03.23 15:49,sell,3,0.1,119.791,0,0,,
5,2020.03.23 22:30,close,2,0.1,119.105,0,0,18.73,"10,051.91"
6,2020.03.23 22:30,close,3,0.1,119.105,0,0,47.42,"10,099.33"
7,2020.04.02 14:00,buy,4,0.1,116.681,0,0,,
8,2020.04.02 15:36,close,4,0.1,117.148,0,0,32.29,"10,131.62"
9,2020.06.04 16:00,sell,5,0.1,123.646,0,0,,
10,2020.06.05 06:49,sell,6,0.1,124.075,0,0,,
11,2020.06.08 11:37,close,5,0.1,123.364,0,0,16.94,"10,148.56"
12,2020.06.08 11:37,close,6,0.1,123.364,0,0,47.87,"10,196.43"
13,2020.11.09 13:00,sell,7,0.1,124.843,0,0,,
14,2020.11.09 23:49,close,7,0.1,124.342,0,0,34.63,"10,231.06"
15,2022.02.11 19:00,buy,8,0.1,131.02,0,0,,
16,2022.02.11 19:06,buy,9,0.1,130.561,0,0,,
17,2022.02.13 23:48,close,8,0.1,131.316,0,0,20.47,"10,251.53"
18,2022.02.13 23:48,close,9,0.1,131.316,0,0,52.2,"10,303.73"
19,2022.03.28 10:00,sell,10,0.1,137.035,0,0,,
20,2022.03.28 10:49,close,10,0.1,136.466,0,0,39.33,"10,343.06"
21,2022.04.25 08:00,buy,11,0.1,137.308,0,0,,
22,2022.04.25 09:02,close,11,0.1,137.858,0,0,38.03,"10,381.09"
23,2022.05.12 09:00,buy,12,0.1,134.825,0,0,,
24,2022.05.12 09:14,buy,13,0.1,134.35,0,0,,
25,2022.05.12 12:37,buy,14,0.1,133.87,0,0,,
26,2022.05.12 13:55,buy,15,0.1,133.401,0,0,,
27,2022.05.12 14:37,buy,16,0.1,132.929,0,0,,
28,2022.05.13 15:22,close,12,0.1,134.411,0,0,-28.62,"10,352.47"
29,2022.05.13 15:22,close,13,0.1,134.411,0,0,4.22,"10,356.69"
30,2022.05.13 15:22,close,14,0.1,134.411,0,0,37.4,"10,394.09"
31,2022.05.13 15:22,close,15,0.1,134.411,0,0,69.83,"10,463.92"
32,2022.05.13 15:22,close,16,0.1,134.411,0,0,102.46,"10,566.38"
33,2022.06.13 15:00,buy,17,0.1,139.559,0,0,,
34,2022.06.13 17:33,close,17,0.1,140.12,0,0,38.78,"10,605.16"
35,2022.06.16 10:00,buy,18,0.1,138.743,0,0,,
36,2022.06.16 10:25,buy,19,0.1,138.254,0,0,,
37,2022.06.16 15:32,close,18,0.1,139.053,0,0,21.43,"10,626.59"
38,2022.06.16 15:32,close,19,0.1,139.053,0,0,55.23,"10,681.82"
39,2022.07.05 10:00,buy,20,0.1,140.085,0,0,,
40,2022.07.05 14:10,buy,21,0.1,139.59,0,0,,
41,2022.07.05 16:30,buy,22,0.1,139.098,0,0,,
42,2022.07.06 06:05,buy,23,0.1,138.608,0,0,,
43,2022.07.06 11:54,buy,24,0.1,138.101,0,0,,
44,2022.07.06 13:25,buy,25,0.1,137.613,0,0,,
45,2022.07.08 08:39,buy,26,0.1,137.123,0,0,,
46,2022.07.11 02:45,close,20,0.1,139.159,0,0,-64.02,"10,617.80"
47,2022.07.11 02:45,close,21,0.1,139.159,0,0,-29.8,"10,588.00"
48,2022.07.11 02:45,close,22,0.1,139.159,0,0,4.21,"10,592.21"
49,2022.07.11 02:45,close,23,0.1,139.159,0,0,38.09,"10,630.30"
50,2022.07.11 02:45,close,24,0.1,139.159,0,0,73.14,"10,703.44"
51,2022.07.11 02:45,close,25,0.1,139.159,0,0,106.88,"10,810.32"
52,2022.07.11 02:45,close,26,0.1,139.159,0,0,140.76,"10,951.08"
53,2022.07.14 09:00,sell,27,0.1,139.613,0,0,,
54,2022.07.14 12:40,close,27,0.1,139.054,0,0,38.64,"10,989.72"
55,2022.09.13 14:00,sell,28,0.1,144.942,0,0,,
56,2022.09.13 14:38,close,28,0.1,144.356,0,0,40.51,"11,030.23"
57,2022.09.26 02:00,buy,29,0.1,137.66,0,0,,
58,2022.09.26 02:05,close,29,0.1,138.212,0,0,38.16,"11,068.39"
59,2022.10.13 17:00,sell,30,0.1,143.903,0,0,,
60,2022.10.14 07:28,sell,31,0.1,144.412,0,0,,
61,2022.10.14 12:50,close,30,0.1,143.58,0,0,21.05,"11,089.44"
62,2022.10.14 12:50,close,31,0.1,143.58,0,0,57.52,"11,146.96"
63,2022.10.17 16:00,sell,32,0.1,145.992,0,0,,
64,2022.10.17 17:33,sell,33,0.1,146.509,0,0,,
65,2022.10.18 14:29,sell,34,0.1,147.031,0,0,,
66,2022.10.21 11:57,sell,35,0.1,147.553,0,0,,
67,2022.10.21 14:07,sell,36,0.1,148.077,0,0,,
68,2022.10.21 15:53,close,32,0.1,146.441,0,0,-38.7,"11,108.26"
69,2022.10.21 15:53,close,33,0.1,146.441,0,0,-2.96,"11,105.31"
70,2022.10.21 15:53,close,34,0.1,146.441,0,0,34.4,"11,139.70"
71,2022.10.21 15:53,close,35,0.1,146.441,0,0,76.87,"11,216.57"
72,2022.10.21 15:53,close,36,0.1,146.441,0,0,113.09,"11,329.66"
73,2022.10.21 17:00,buy,37,0.1,144.243,0,0,,
74,2022.10.21 17:04,close,37,0.1,144.822,0,0,40.03,"11,369.69"
75,2022.11.10 15:00,buy,38,0.1,144.473,0,0,,
76,2022.11.10 20:38,buy,39,0.1,143.962,0,0,,
77,2022.11.10 21:08,buy,40,0.1,143.453,0,0,,
78,2022.11.10 23:04,close,38,0.1,144.545,0,0,4.98,"11,374.67"
79,2022.11.10 23:04,close,39,0.1,144.545,0,0,40.31,"11,414.98"
80,2022.11.10 23:04,close,40,0.1,144.545,0,0,75.5,"11,490.48"
81,2022.11.24 11:00,buy,41,0.1,143.856,0,0,,
82,2022.11.25 00:50,close,41,0.1,144.434,0,0,39.96,"11,530.44"
83,2022.12.02 09:00,buy,42,0.1,140.989,0,0,,
84,2022.12.02 13:30,close,42,0.1,141.554,0,0,39.06,"11,569.50"
85,2022.12.15 15:00,sell,43,0.1,146.334,0,0,,
86,2022.12.16 08:27,close,43,0.1,145.747,0,0,39.3,"11,608.81"
87,2022.12.20 04:00,buy,44,0.1,141.627,0,0,,
88,2022.12.20 05:34,buy,45,0.1,141.125,0,0,,
89,2022.12.20 06:01,buy,46,0.1,140.622,0,0,,
90,2022.12.20 15:52,buy,47,0.1,140.126,0,0,,
91,2022.12.20 16:11,buy,48,0.1,139.631,0,0,,
92,2022.12.20 17:07,buy,49,0.1,139.134,0,0,,
93,2022.12.23 11:26,close,44,0.1,140.941,0,0,-47.43,"11,561.38"
94,2022.12.23 11:26,close,45,0.1,140.941,0,0,-12.72,"11,548.66"
95,2022.12.23 11:26,close,46,0.1,140.941,0,0,22.05,"11,570.71"
96,2022.12.23 11:26,close,47,0.1,140.941,0,0,56.34,"11,627.05"
97,2022.12.23 11:26,close,48,0.1,140.941,0,0,90.57,"11,717.62"
98,2022.12.23 11:26,close,49,0.1,140.941,0,0,124.93,"11,842.55"
99,2023.01.04 16:00,sell,50,0.1,139.97,0,0,,
100,2023.01.04 17:30,sell,51,0.1,140.463,0,0,,
