max drawdwon,1548,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.02.28 09:00,sell,1,0.1,1.1034,0,0,,
2,2020.02.28 11:54,close,1,0.1,1.09898,0,0,44.2,"10,044.20"
3,2020.03.03 16:00,sell,2,0.1,1.11799,0,0,,
4,2020.03.04 12:25,close,2,0.1,1.11351,0,0,44.8,"10,089.00"
5,2020.03.12 17:00,buy,3,0.1,1.10826,0,0,,
6,2020.03.12 17:54,close,3,0.1,1.11273,0,0,44.7,"10,133.70"
7,2020.03.17 12:00,buy,4,0.1,1.1029,0,0,,
8,2020.03.17 13:33,buy,5,0.1,1.09808,0,0,,
9,2020.03.18 14:18,buy,6,0.1,1.09222,0,0,,
10,2020.03.18 16:04,buy,7,0.1,1.08524,0,0,,
11,2020.03.19 12:24,buy,8,0.1,1.0768,0,0,,
12,2020.03.20 00:06,buy,9,0.1,1.06633,0,0,,
13,2020.03.26 01:41,close,4,0.1,1.09164,0,0,-122.72,"10,010.98"
14,2020.03.26 01:41,close,5,0.1,1.09164,0,0,-74.52,"9,936.46"
15,2020.03.26 01:41,close,6,0.1,1.09164,0,0,-15,"9,921.46"
16,2020.03.26 01:41,close,7,0.1,1.09164,0,0,54.8,"9,976.26"
17,2020.03.26 01:41,close,8,0.1,1.09164,0,0,141.96,"10,118.22"
18,2020.03.26 01:41,close,9,0.1,1.09164,0,0,247.58,"10,365.80"
19,2020.04.02 15:00,buy,10,0.1,1.08522,0,0,,
20,2020.04.02 15:38,close,10,0.1,1.08963,0,0,44.1,"10,409.90"
21,2020.04.03 09:00,buy,11,0.1,1.07911,0,0,,
22,2020.04.06 06:44,close,11,0.1,1.08344,0,0,42.38,"10,452.28"
23,2020.06.04 16:00,sell,12,0.1,1.13436,0,0,,
24,2020.06.05 06:56,sell,13,0.1,1.1373,0,0,,
25,2020.06.05 13:31,close,12,0.1,1.13123,0,0,31.3,"10,483.58"
26,2020.06.05 13:31,close,13,0.1,1.13123,0,0,60.7,"10,544.28"
27,2020.11.05 10:00,sell,14,0.1,1.17942,0,0,,
28,2020.11.05 12:31,sell,15,0.1,1.18296,0,0,,
29,2020.11.06 10:46,sell,16,0.1,1.18681,0,0,,
30,2020.11.09 05:07,sell,17,0.1,1.18911,0,0,,
31,2020.11.09 16:12,close,14,0.1,1.17983,0,0,-4.1,"10,540.18"
32,2020.11.09 16:12,close,15,0.1,1.17983,0,0,31.3,"10,571.48"
33,2020.11.09 16:12,close,16,0.1,1.17983,0,0,69.8,"10,641.28"
34,2020.11.09 16:12,close,17,0.1,1.17983,0,0,92.8,"10,734.08"
35,2020.12.03 13:00,sell,18,0.1,1.21554,0,0,,
36,2020.12.04 10:40,sell,19,0.1,1.2175,0,0,,
37,2020.12.04 20:51,close,18,0.1,1.21162,0,0,39.2,"10,773.28"
38,2020.12.04 20:51,close,19,0.1,1.21162,0,0,58.8,"10,832.08"
39,2021.06.18 15:00,buy,20,0.1,1.18678,0,0,,
40,2021.06.21 15:03,close,20,0.1,1.19154,0,0,46.68,"10,878.76"
41,2022.03.17 17:00,sell,21,0.1,1.11098,0,0,,
42,2022.03.18 09:28,close,21,0.1,1.1065,0,0,44.8,"10,923.56"
43,2022.04.25 08:00,buy,22,0.1,1.07152,0,0,,
44,2022.04.25 13:08,close,22,0.1,1.07581,0,0,42.9,"10,966.46"
45,2022.05.24 09:00,sell,23,0.1,1.07307,0,0,,
46,2022.05.25 08:03,close,23,0.1,1.06875,0,0,43.2,"11,009.66"
47,2022.06.10 14:00,buy,24,0.1,1.05233,0,0,,
48,2022.06.13 01:50,buy,25,0.1,1.04823,0,0,,
49,2022.06.13 12:51,buy,26,0.1,1.04512,0,0,,
50,2022.06.13 20:31,buy,27,0.1,1.0406,0,0,,
51,2022.06.15 09:45,close,24,0.1,1.05076,0,0,-18.46,"10,991.20"
52,2022.06.15 09:45,close,25,0.1,1.05076,0,0,23.46,"11,014.66"
