max drawdwon,4081,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.02.06 16:00,buy,1,0.1,1.29289,0,0,,
2,2020.02.07 16:44,buy,2,0.1,1.29009,0,0,,
3,2020.02.10 07:51,buy,3,0.1,1.28835,0,0,,
4,2020.02.11 14:10,close,1,0.1,1.29561,0,0,26.57,"10,026.57"
5,2020.02.11 14:10,close,2,0.1,1.29561,0,0,54.78,"10,081.35"
6,2020.02.11 14:10,close,3,0.1,1.29561,0,0,72.39,"10,153.74"
7,2020.03.12 14:00,buy,4,0.1,1.26598,0,0,,
8,2020.03.12 14:53,buy,5,0.1,1.25964,0,0,,
9,2020.03.12 17:08,buy,6,0.1,1.25069,0,0,,
10,2020.03.12 19:15,close,4,0.1,1.26381,0,0,-21.7,"10,132.04"
11,2020.03.12 19:15,close,5,0.1,1.26381,0,0,41.7,"10,173.74"
12,2020.03.12 19:15,close,6,0.1,1.26381,0,0,131.2,"10,304.94"
13,2020.03.13 17:00,buy,7,0.1,1.24071,0,0,,
14,2020.03.13 19:27,buy,8,0.1,1.23037,0,0,,
15,2020.03.15 22:42,close,7,0.1,1.24071,0,0,0,"10,304.94"
16,2020.03.15 22:42,close,8,0.1,1.24071,0,0,103.4,"10,408.34"
17,2020.03.17 12:00,buy,9,0.1,1.21008,0,0,,
18,2020.03.17 16:57,buy,10,0.1,1.20197,0,0,,
19,2020.03.17 19:20,close,9,0.1,1.21085,0,0,7.7,"10,416.04"
20,2020.03.17 19:20,close,10,0.1,1.21085,0,0,88.8,"10,504.84"
21,2020.03.18 14:00,buy,11,0.1,1.1844,0,0,,
22,2020.03.18 17:34,buy,12,0.1,1.1733,0,0,,
23,2020.03.18 17:51,buy,13,0.1,1.1622,0,0,,
24,2020.03.18 17:53,buy,14,0.1,1.15109,0,0,,
25,2020.03.19 16:02,close,11,0.1,1.17242,0,0,-120.43,"10,384.41"
26,2020.03.19 16:02,close,12,0.1,1.17242,0,0,-9.43,"10,374.98"
27,2020.03.19 16:02,close,13,0.1,1.17242,0,0,101.57,"10,476.55"
28,2020.03.19 16:02,close,14,0.1,1.17242,0,0,212.67,"10,689.22"
29,2020.04.02 11:00,sell,15,0.1,1.2461,0,0,,
30,2020.04.02 13:49,close,15,0.1,1.24111,0,0,49.9,"10,739.12"
31,2020.04.13 08:00,sell,16,0.1,1.25214,0,0,,
32,2020.04.14 03:02,sell,17,0.1,1.25589,0,0,,
33,2020.04.14 16:49,sell,18,0.1,1.26095,0,0,,
34,2020.04.15 09:05,close,16,0.1,1.25129,0,0,8.3,"10,747.42"
