max drawdwon,3566,,,,,,,,
,,,,,,,,,
#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2020.01.09 16:00,sell,1,0.1,1.30968,0,0,,
2,2020.01.10 13:30,close,1,0.1,1.30441,0,0,38.44,"10,038.44"
3,2020.02.03 17:00,sell,2,0.1,1.32955,0,0,,
4,2020.02.07 08:32,sell,3,0.1,1.33067,0,0,,
5,2020.02.07 12:43,sell,4,0.1,1.33176,0,0,,
6,2020.02.12 16:34,close,2,0.1,1.3253,0,0,26.18,"10,064.62"
7,2020.02.12 16:34,close,3,0.1,1.3253,0,0,38.56,"10,103.17"
8,2020.02.12 16:34,close,4,0.1,1.3253,0,0,46.78,"10,149.95"
9,2020.03.08 23:00,sell,5,0.1,1.35895,0,0,,
10,2020.03.09 02:45,sell,6,0.1,1.36588,0,0,,
11,2020.03.09 02:50,sell,7,0.1,1.37285,0,0,,
12,2020.03.09 09:49,close,5,0.1,1.36036,0,0,-11.01,"10,138.93"
13,2020.03.09 09:49,close,6,0.1,1.36036,0,0,40.58,"10,179.51"
14,2020.03.09 09:49,close,7,0.1,1.36036,0,0,91.81,"10,271.32"
15,2020.03.10 16:00,sell,8,0.1,1.37458,0,0,,
16,2020.03.11 09:45,close,8,0.1,1.36908,0,0,39.52,"10,310.84"
17,2020.03.12 17:00,sell,9,0.1,1.38715,0,0,,
18,2020.03.12 17:50,close,9,0.1,1.38159,0,0,40.24,"10,351.08"
19,2020.03.17 13:00,sell,10,0.1,1.41383,0,0,,
20,2020.03.17 17:34,sell,11,0.1,1.42123,0,0,,
21,2020.03.18 09:49,sell,12,0.1,1.42727,0,0,,
22,2020.03.18 10:26,sell,13,0.1,1.43343,0,0,,
23,2020.03.18 13:20,sell,14,0.1,1.43963,0,0,,
24,2020.03.18 14:27,sell,15,0.1,1.44649,0,0,,
25,2020.03.18 17:56,sell,16,0.1,1.45667,0,0,,
26,2020.03.20 08:24,close,10,0.1,1.42833,0,0,-104.79,"10,246.29"
27,2020.03.20 08:24,close,11,0.1,1.42833,0,0,-52.98,"10,193.31"
28,2020.03.20 08:24,close,12,0.1,1.42833,0,0,-10.04,"10,183.27"
29,2020.03.20 08:24,close,13,0.1,1.42833,0,0,33.09,"10,216.36"
30,2020.03.20 08:24,close,14,0.1,1.42833,0,0,76.49,"10,292.85"
31,2020.03.20 08:24,close,15,0.1,1.42833,0,0,124.52,"10,417.37"
32,2020.03.20 08:24,close,16,0.1,1.42833,0,0,195.79,"10,613.17"
33,2020.04.09 16:00,buy,17,0.1,1.39479,0,0,,
34,2020.04.09 19:34,close,17,0.1,1.40037,0,0,39.85,"10,653.02"
35,2020.04.12 22:00,buy,18,0.1,1.39259,0,0,,
36,2020.04.12 23:12,close,18,0.1,1.39818,0,0,39.98,"10,693.00"
37,2020.04.13 19:00,buy,19,0.1,1.38806,0,0,,
38,2020.04.15 07:12,close,19,0.1,1.39364,0,0,40.04,"10,733.04"
39,2020.04.23 16:00,buy,20,0.1,1.40204,0,0,,
40,2020.04.23 18:26,close,20,0.1,1.40766,0,0,39.92,"10,772.96"
41,2020.04.28 11:00,buy,21,0.1,1.39567,0,0,,
42,2020.04.29 14:50,buy,22,0.1,1.39182,0,0,,
43,2020.04.30 00:34,buy,23,0.1,1.38774,0,0,,
44,2020.05.01 01:30,close,21,0.1,1.39733,0,0,11.88,"10,784.84"
45,2020.05.01 01:30,close,22,0.1,1.39733,0,0,39.43,"10,824.27"
46,2020.05.01 01:30,close,23,0.1,1.39733,0,0,68.63,"10,892.90"
47,2020.06.26 15:00,sell,24,0.1,1.36941,0,0,,
48,2020.06.30 15:43,close,24,0.1,1.36393,0,0,38.87,"10,931.77"
49,2020.08.31 16:00,buy,25,0.1,1.30292,0,0,,
50,2020.09.01 07:00,buy,26,0.1,1.30033,0,0,,
51,2020.09.01 15:42,close,25,0.1,1.30685,0,0,30.07,"10,961.84"
52,2020.09.01 15:42,close,26,0.1,1.30685,0,0,49.89,"11,011.73"
53,2020.10.09 14:00,buy,27,0.1,1.31363,0,0,,
54,2020.10.12 14:19,buy,28,0.1,1.3117,0,0,,
55,2020.10.15 09:29,close,27,0.1,1.31793,0,0,32.63,"11,044.36"
56,2020.10.15 09:29,close,28,0.1,1.31793,0,0,47.27,"11,091.63"
57,2020.10.29 13:00,sell,29,0.1,1.33641,0,0,,
58,2020.10.29 20:53,close,29,0.1,1.33105,0,0,40.27,"11,131.90"
59,2020.11.05 13:00,buy,30,0.1,1.30656,0,0,,
60,2020.11.06 15:53,buy,31,0.1,1.30261,0,0,,
61,2020.11.09 11:46,buy,32,0.1,1.2999,0,0,,
62,2020.11.09 11:52,buy,33,0.1,1.2971,0,0,,
63,2020.11.09 14:16,buy,34,0.1,1.29317,0,0,,
64,2020.11.10 13:37,close,30,0.1,1.30507,0,0,-11.42,"11,120.48"
65,2020.11.10 13:37,close,31,0.1,1.30507,0,0,18.85,"11,139.33"
66,2020.11.10 13:37,close,32,0.1,1.30507,0,0,39.61,"11,178.94"
67,2020.11.10 13:37,close,33,0.1,1.30507,0,0,61.07,"11,240.01"
68,2020.11.10 13:37,close,34,0.1,1.30507,0,0,91.18,"11,331.19"
69,2020.11.12 15:00,sell,35,0.1,1.31352,0,0,,
70,2020.11.13 06:00,sell,36,0.1,1.31631,0,0,,
71,2020.11.16 08:04,close,35,0.1,1.30965,0,0,26.93,"11,358.12"
72,2020.11.16 08:04,close,36,0.1,1.30965,0,0,50.2,"11,408.31"
73,2020.12.04 14:00,buy,37,0.1,1.28365,0,0,,
74,2020.12.04 14:42,buy,38,0.1,1.28121,0,0,,
75,2020.12.04 20:27,buy,39,0.1,1.2778,0,0,,
76,2020.12.10 13:06,buy,40,0.1,1.27573,0,0,,
77,2020.12.10 14:50,buy,41,0.1,1.2733,0,0,,
78,2020.12.15 18:10,buy,42,0.1,1.27064,0,0,,
79,2020.12.21 01:45,close,37,0.1,1.28221,0,0,-11.23,"11,397.08"
80,2020.12.21 01:45,close,38,0.1,1.28221,0,0,7.8,"11,404.88"
81,2020.12.21 01:45,close,39,0.1,1.28221,0,0,34.39,"11,439.27"
82,2020.12.21 01:45,close,40,0.1,1.28221,0,0,50.54,"11,489.81"
83,2020.12.21 01:45,close,41,0.1,1.28221,0,0,69.49,"11,559.30"
84,2020.12.21 01:45,close,42,0.1,1.28221,0,0,90.23,"11,649.53"
85,2021.01.14 17:00,buy,43,0.1,1.26357,0,0,,
86,2021.01.15 08:24,close,43,0.1,1.26864,0,0,39.96,"11,689.49"
87,2021.01.20 16:00,buy,44,0.1,1.26274,0,0,,
88,2021.01.21 13:45,buy,45,0.1,1.26039,0,0,,
89,2021.01.22 02:17,close,44,0.1,1.26662,0,0,30.63,"11,720.12"
90,2021.01.22 02:17,close,45,0.1,1.26662,0,0,49.19,"11,769.31"
91,2021.03.04 17:00,buy,46,0.1,1.25857,0,0,,
92,2021.03.04 17:46,close,46,0.1,1.26362,0,0,39.96,"11,809.27"
93,2021.03.25 16:00,sell,47,0.1,1.26177,0,0,,
94,2021.03.26 13:38,close,47,0.1,1.25672,0,0,38.22,"11,847.49"
95,2021.04.26 16:00,buy,48,0.1,1.23927,0,0,,
96,2021.04.28 15:19,buy,49,0.1,1.23733,0,0,,
97,2021.04.28 17:36,buy,50,0.1,1.23488,0,0,,
98,2021.04.28 19:37,buy,51,0.1,1.232,0,0,,
99,2021.04.29 08:21,buy,52,0.1,1.22947,0,0,,
100,2021.04.30 05:14,buy,53,0.1,1.22722,0,0,,
101,2021.05.06 09:14,buy,54,0.1,1.22506,0,0,,
102,2021.05.06 14:23,buy,55,0.1,1.22242,0,0,,
103,2021.05.06 14:51,buy,56,0.1,1.21984,0,0,,
104,2021.05.06 20:56,buy,57,0.1,1.21659,0,0,,
105,2021.06.17 11:18,close,48,0.1,1.23337,0,0,-47.84,"11,799.65"
106,2021.06.17 11:18,close,49,0.1,1.23337,0,0,-32.11,"11,767.54"
107,2021.06.17 11:18,close,50,0.1,1.23337,0,0,-12.24,"11,755.30"
108,2021.06.17 11:18,close,51,0.1,1.23337,0,0,11.11,"11,766.41"
109,2021.06.17 11:18,close,52,0.1,1.23337,0,0,31.62,"11,798.03"
110,2021.06.17 11:18,close,53,0.1,1.23337,0,0,49.86,"11,847.89"
111,2021.06.17 11:18,close,54,0.1,1.23337,0,0,67.38,"11,915.27"
112,2021.06.17 11:18,close,55,0.1,1.23337,0,0,88.78,"12,004.05"
113,2021.06.17 11:18,close,56,0.1,1.23337,0,0,109.7,"12,113.75"
114,2021.06.17 11:18,close,57,0.1,1.23337,0,0,136.05,"12,249.80"
115,2021.06.18 16:00,sell,58,0.1,1.24524,0,0,,
116,2021.06.21 14:19,close,58,0.1,1.24025,0,0,39.58,"12,289.38"
117,2021.06.25 15:00,buy,59,0.1,1.22752,0,0,,
118,2021.06.28 12:32,close,59,0.1,1.23245,0,0,40,"12,329.38"
119,2021.07.14 14:00,buy,60,0.1,1.24579,0,0,,
120,2021.07.14 15:00,buy,61,0.1,1.24273,0,0,,
121,2021.07.14 15:02,close,60,0.1,1.24926,0,0,27.78,"12,357.16"
122,2021.07.14 15:02,close,61,0.1,1.24926,0,0,52.27,"12,409.43"
123,2021.08.03 15:00,sell,62,0.1,1.25734,0,0,,
124,2021.08.04 04:08,close,62,0.1,1.25229,0,0,39.68,"12,449.10"
125,2021.08.24 16:00,buy,63,0.1,1.25861,0,0,,
126,2021.08.25 14:02,close,63,0.1,1.26369,0,0,40.2,"12,489.30"
127,2021.09.03 14:00,buy,64,0.1,1.25111,0,0,,
128,2021.09.07 09:03,close,64,0.1,1.25612,0,0,39.88,"12,529.18"
129,2021.09.17 16:00,sell,65,0.1,1.27504,0,0,,
130,2021.09.20 03:58,sell,66,0.1,1.27987,0,0,,
131,2021.09.20 10:43,sell,67,0.1,1.2836,0,0,,
132,2021.09.20 13:32,sell,68,0.1,1.2879,0,0,,
133,2021.09.21 05:57,close,65,0.1,1.27647,0,0,-12.51,"12,516.67"
134,2021.09.21 05:57,close,66,0.1,1.27647,0,0,25.99,"12,542.66"
135,2021.09.21 05:57,close,67,0.1,1.27647,0,0,55.21,"12,597.86"
136,2021.09.21 05:57,close,68,0.1,1.27647,0,0,88.89,"12,686.75"
137,2021.09.29 16:00,sell,69,0.1,1.27474,0,0,,
138,2021.09.30 15:27,close,69,0.1,1.26964,0,0,39.52,"12,726.26"
139,2021.10.04 15:00,buy,70,0.1,1.25693,0,0,,
140,2021.10.05 05:32,close,70,0.1,1.26196,0,0,39.86,"12,766.12"
141,2021.10.08 14:00,buy,71,0.1,1.25017,0,0,,
142,2021.10.08 15:40,buy,72,0.1,1.24708,0,0,,
143,2021.10.12 17:08,buy,73,0.1,1.24388,0,0,,
144,2021.10.14 07:00,buy,74,0.1,1.24224,0,0,,
145,2021.10.14 07:30,buy,75,0.1,1.24057,0,0,,
146,2021.10.14 09:52,buy,76,0.1,1.23879,0,0,,
147,2021.10.14 14:46,buy,77,0.1,1.23653,0,0,,
148,2021.10.15 07:54,buy,78,0.1,1.2347,0,0,,
149,2021.10.19 07:46,buy,79,0.1,1.23275,0,0,,
150,2021.10.21 03:13,buy,80,0.1,1.23001,0,0,,
151,2021.11.03 15:00,close,71,0.1,1.24464,0,0,-44.43,"12,721.69"
152,2021.11.03 15:00,close,72,0.1,1.24464,0,0,-19.6,"12,702.09"
153,2021.11.03 15:00,close,73,0.1,1.24464,0,0,6.11,"12,708.20"
154,2021.11.03 15:00,close,74,0.1,1.24464,0,0,19.28,"12,727.48"
155,2021.11.03 15:00,close,75,0.1,1.24464,0,0,32.7,"12,760.18"
156,2021.11.03 15:00,close,76,0.1,1.24464,0,0,47,"12,807.18"
157,2021.11.03 15:00,close,77,0.1,1.24464,0,0,65.16,"12,872.34"
158,2021.11.03 15:00,close,78,0.1,1.24464,0,0,79.86,"12,952.20"
159,2021.11.03 15:00,close,79,0.1,1.24464,0,0,95.53,"13,047.73"
160,2021.11.03 15:00,close,80,0.1,1.24464,0,0,117.54,"13,165.27"
161,2021.11.22 16:00,sell,81,0.1,1.26797,0,0,,
162,2021.11.23 02:17,sell,82,0.1,1.2708,0,0,,
163,2021.11.23 08:14,sell,83,0.1,1.27265,0,0,,
164,2021.11.24 16:48,close,81,0.1,1.26539,0,0,19.08,"13,184.36"
165,2021.11.24 16:48,close,82,0.1,1.26539,0,0,42.1,"13,226.45"
166,2021.11.24 16:48,close,83,0.1,1.26539,0,0,56.72,"13,283.17"
167,2021.12.31 16:00,buy,84,0.1,1.263,0,0,,
168,2022.01.03 03:33,close,84,0.1,1.26807,0,0,39.98,"13,323.15"
169,2022.01.07 16:00,buy,85,0.1,1.26758,0,0,,
170,2022.01.07 16:59,buy,86,0.1,1.26441,0,0,,
171,2022.01.10 09:19,buy,87,0.1,1.26214,0,0,,
172,2022.01.11 17:59,buy,88,0.1,1.25875,0,0,,
173,2022.01.12 02:23,buy,89,0.1,1.2554,0,0,,
174,2022.01.12 13:32,buy,90,0.1,1.25314,0,0,,
175,2022.01.12 16:42,buy,91,0.1,1.25021,0,0,,
176,2022.01.13 08:03,buy,92,0.1,1.2484,0,0,,
177,2022.01.13 13:56,buy,93,0.1,1.24637,0,0,,
178,2022.01.24 10:24,close,85,0.1,1.26132,0,0,-49.63,"13,273.52"
179,2022.01.24 10:24,close,86,0.1,1.26132,0,0,-24.5,"13,249.02"
180,2022.01.24 10:24,close,87,0.1,1.26132,0,0,-6.5,"13,242.52"
181,2022.01.24 10:24,close,88,0.1,1.26132,0,0,20.38,"13,262.90"
182,2022.01.24 10:24,close,89,0.1,1.26132,0,0,46.93,"13,309.83"
183,2022.01.24 10:24,close,90,0.1,1.26132,0,0,64.85,"13,374.68"
184,2022.01.24 10:24,close,91,0.1,1.26132,0,0,88.08,"13,462.76"
185,2022.01.24 10:24,close,92,0.1,1.26132,0,0,102.43,"13,565.19"
186,2022.01.24 10:24,close,93,0.1,1.26132,0,0,118.53,"13,683.72"
187,2022.02.02 13:00,buy,94,0.1,1.26584,0,0,,
188,2022.02.03 09:58,close,94,0.1,1.27091,0,0,39.89,"13,723.61"
189,2022.03.08 17:00,sell,95,0.1,1.28959,0,0,,
190,2022.03.09 08:18,close,95,0.1,1.28439,0,0,39.84,"13,763.44"
191,2022.03.11 14:00,buy,96,0.1,1.27178,0,0,,
192,2022.03.14 03:22,close,96,0.1,1.27688,0,0,39.94,"13,803.38"
193,2022.03.25 18:00,buy,97,0.1,1.24871,0,0,,
194,2022.03.28 14:42,close,97,0.1,1.25372,0,0,39.96,"13,843.34"
195,2022.03.30 15:00,buy,98,0.1,1.24462,0,0,,
196,2022.03.30 16:52,close,98,0.1,1.2496,0,0,39.85,"13,883.19"
197,2022.04.08 15:00,sell,99,0.1,1.26123,0,0,,
198,2022.04.12 00:48,sell,100,0.1,1.26432,0,0,,
199,2022.04.13 14:08,sell,101,0.1,1.26706,0,0,,
