Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
GBPAUD,0.2577,234,174,60,74.36,475.29,2.03,3.96,-3.52,0,0,0,3.2586,2001.78,2477.07,23.74,2080,2020-01-02,2025-09-12,3.81,323.61
EURAUD,0.0696,235,169,66,71.91,500.63,2.13,6.77,-9.74,0,0,0,1.7801,2000.96,2501.59,25.02,2079,2020-01-02,2025-09-12,4.0,1262.53
GBPUSD,0.1125,228,165,63,72.37,461.92,2.03,5.32,-6.58,0,0,0,2.1172,2000.87,2462.79,23.09,2038,2020-01-02,2025-08-01,3.79,735.54
EURGBP,0.0661,128,97,31,75.78,267.91,2.09,5.16,-7.45,0,0,0,2.1672,2001.49,2269.4,13.39,2034,2020-01-02,2025-07-28,2.28,727.1
GBPCAD,0.2084,230,168,62,73.04,372.34,1.62,3.44,-3.31,0,0,0,2.8189,2000.64,2372.98,18.61,2055,2020-01-02,2025-08-18,3.08,317.4
EURCAD,0.0955,188,130,58,69.15,254.6,1.35,4.37,-5.4,0,0,0,1.8158,2000.69,2255.29,12.73,2001,2020-01-02,2025-06-26,2.21,486.55
EURUSD,0.5198,249,183,66,73.49,409.53,1.64,3.09,-2.33,0,0,0,3.6789,2001.94,2411.47,20.46,2038,2020-01-02,2025-08-01,3.39,141.11
USDCHF,0.1223,270,194,76,71.85,334.17,1.24,3.78,-5.23,0,0,0,1.8428,2000.92,2335.09,16.7,2012,2020-01-02,2025-07-07,2.84,495.84
NZDCHF,0.0717,179,129,50,72.07,239.85,1.34,3.7,-4.72,0,0,0,2.0244,2001.85,2241.7,11.98,2058,2020-01-02,2025-08-21,2.03,592.93
USDJPY,0.082,323,223,100,69.04,306.26,0.95,4.27,-6.45,0,0,0,1.4764,2000.74,2307.0,15.31,2021,2020-01-02,2025-07-16,2.61,674.92
CADCHF,0.1145,250,189,61,75.6,348.77,1.4,3.36,-4.68,0,0,0,2.2245,2001.07,2349.84,17.43,2009,2020-01-02,2025-07-03,2.96,553.53
GBPCHF,0.1515,224,164,60,73.21,640.8,2.86,7.06,-8.57,0,0,0,2.2512,2002.46,2643.26,32.0,2021,2020-01-02,2025-07-15,5.14,763.98
EURCHF,0.1849,205,139,66,67.8,260.09,1.27,3.3,-2.91,0,0,0,2.384,2006.09,2266.18,12.97,1923,2020-01-02,2025-04-09,2.34,267.04
USDCAD,0.2377,257,189,68,73.54,332.29,1.29,2.52,-2.11,0,0,0,3.3234,2001.04,2333.33,16.61,1992,2020-01-02,2025-06-17,2.85,256.2
AUDUSD,0.3273,192,148,44,77.08,257.07,1.34,2.06,-1.06,0,0,0,6.5106,2001.0,2258.07,12.85,1923,2020-01-02,2025-04-09,2.32,149.09
